Period,Transaction cost (%),Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2015-2019,0.25,QQQ,-2.0,1,54,0.04,0.07,-0.02,48.15,5.99,-4.62,1.53,-1.34,-0.017
2015-2019,0.25,QQQ,-2.0,3,54,0.48,0.2,0.27,59.26,7.04,-8.65,2.52,-2.5,0.109
2015-2019,0.25,QQQ,-2.0,5,54,0.79,0.34,0.45,61.11,7.73,-8.84,2.75,-2.29,0.196
2015-2019,0.5,QQQ,-2.0,1,54,-0.21,0.07,-0.27,42.59,5.74,-4.87,1.47,-1.45,-0.188
2015-2019,0.5,QQQ,-2.0,3,54,0.23,0.2,0.02,57.41,6.79,-8.9,2.35,-2.64,0.008
2015-2019,0.5,QQQ,-2.0,5,54,0.54,0.34,0.2,57.41,7.48,-9.09,2.66,-2.32,0.085
2015-2019,0.0,QQQ,-2.5,1,33,0.24,0.07,0.18,54.55,4.28,-4.37,1.74,-1.56,0.113
2015-2019,0.0,QQQ,-2.5,3,33,1.02,0.2,0.82,66.67,7.29,-8.4,2.52,-1.98,0.412
2015-2019,0.0,QQQ,-2.5,5,33,1.92,0.34,1.58,72.73,7.98,-2.57,3.03,-1.04,1.525
2015-2019,0.1,QQQ,-2.5,1,33,0.14,0.07,0.08,51.52,4.18,-4.47,1.74,-1.55,0.049
2015-2019,0.1,QQQ,-2.5,3,33,0.92,0.2,0.72,63.64,7.19,-8.5,2.54,-1.92,0.374
2015-2019,0.1,QQQ,-2.5,5,33,1.82,0.34,1.48,72.73,7.88,-2.67,2.93,-1.14,1.303
2015-2019,0.25,QQQ,-2.5,1,33,-0.01,0.07,-0.07,48.48,4.03,-4.62,1.69,-1.6,-0.046
2015-2019,0.25,QQQ,-2.5,3,33,0.77,0.2,0.57,63.64,7.04,-8.65,2.39,-2.07,0.274
2015-2019,0.25,QQQ,-2.5,5,33,1.67,0.34,1.33,72.73,7.73,-2.82,2.78,-1.29,1.034
2015-2019,0.5,QQQ,-2.5,1,33,-0.26,0.07,-0.32,48.48,3.78,-4.87,1.44,-1.85,-0.175
2015-2019,0.5,QQQ,-2.5,3,33,0.52,0.2,0.32,60.61,6.79,-8.9,2.26,-2.15,0.147
2015-2019,0.5,QQQ,-2.5,5,33,1.42,0.34,1.08,66.67,7.48,-3.07,2.76,-1.27,0.853
2015-2019,0.0,QQQ,-3.0,1,22,0.36,0.07,0.29,59.09,4.28,-3.85,1.78,-1.69,0.173
2015-2019,0.0,QQQ,-3.0,3,22,1.23,0.2,1.02,68.18,7.29,-2.95,2.61,-1.73,0.592
2015-2019,0.0,QQQ,-3.0,5,22,2.08,0.34,1.74,72.73,7.98,-2.57,3.17,-0.84,2.065
2015-2019,0.1,QQQ,-3.0,1,22,0.26,0.07,0.19,54.55,4.18,-3.95,1.82,-1.61,0.119
2015-2019,0.1,QQQ,-3.0,3,22,1.13,0.2,0.92,63.64,7.19,-3.05,2.69,-1.61,0.573
2015-2019,0.1,QQQ,-3.0,5,22,1.98,0.34,1.64,72.73,7.88,-2.67,3.07,-0.94,1.739
2015-2019,0.25,QQQ,-3.0,1,22,0.11,0.07,0.04,50.0,4.03,-4.1,1.83,-1.61,0.026
2015-2019,0.25,QQQ,-3.0,3,22,0.98,0.2,0.77,63.64,7.04,-3.2,2.54,-1.76,0.439
2015-2019,0.25,QQQ,-3.0,5,22,1.83,0.34,1.49,72.73,7.73,-2.82,2.92,-1.09,1.363
2015-2019,0.5,QQQ,-3.0,1,22,-0.14,0.07,-0.21,50.0,3.78,-4.35,1.58,-1.86,-0.112
2015-2019,0.5,QQQ,-3.0,3,22,0.73,0.2,0.52,59.09,6.79,-3.45,2.49,-1.81,0.289
2015-2019,0.5,QQQ,-3.0,5,22,1.58,0.34,1.24,63.64,7.48,-3.07,3.06,-1.02,1.214
2015-2019,0.0,IWM,-1.0,1,166,-0.07,0.04,-0.11,50.6,4.81,-3.9,0.92,-1.08,-0.098
2015-2019,0.0,IWM,-1.0,3,166,0.06,0.11,-0.05,55.42,7.17,-7.43,1.65,-1.91,-0.028
2015-2019,0.0,IWM,-1.0,5,166,0.26,0.19,0.07,58.43,8.61,-8.4,2.21,-2.49,0.026
2015-2019,0.1,IWM,-1.0,1,166,-0.17,0.04,-0.21,47.59,4.71,-4.0,0.88,-1.12,-0.184
2015-2019,0.1,IWM,-1.0,3,166,-0.04,0.11,-0.15,53.01,7.07,-7.53,1.62,-1.91,-0.08
2015-2019,0.1,IWM,-1.0,5,166,0.16,0.19,-0.03,57.23,8.51,-8.5,2.16,-2.51,-0.014
2015-2019,0.25,IWM,-1.0,1,166,-0.32,0.04,-0.36,44.58,4.56,-4.15,0.78,-1.21,-0.295
2015-2019,0.25,IWM,-1.0,3,166,-0.19,0.11,-0.3,48.8,6.92,-7.68,1.61,-1.9,-0.16
2015-2019,0.25,IWM,-1.0,5,166,0.01,0.19,-0.18,55.42,8.36,-8.65,2.08,-2.56,-0.072
2015-2019,0.5,IWM,-1.0,1,166,-0.57,0.04,-0.61,33.73,4.31,-4.4,0.74,-1.24,-0.49
2015-2019,0.5,IWM,-1.0,3,166,-0.44,0.11,-0.55,43.37,6.67,-7.93,1.54,-1.96,-0.283
2015-2019,0.5,IWM,-1.0,5,166,-0.24,0.19,-0.43,52.41,8.11,-8.9,1.94,-2.64,-0.165
2015-2019,0.0,IWM,-1.5,1,87,0.04,0.04,0.01,52.87,4.81,-3.84,1.05,-1.09,0.005
2015-2019,0.0,IWM,-1.5,3,87,0.28,0.11,0.17,60.92,7.17,-6.06,1.8,-2.08,0.081
2015-2019,0.0,IWM,-1.5,5,87,0.41,0.19,0.22,60.92,8.61,-8.4,2.37,-2.64,0.084
2015-2019,0.1,IWM,-1.5,1,87,-0.06,0.04,-0.09,49.43,4.71,-3.94,1.02,-1.11,-0.085
2015-2019,0.1,IWM,-1.5,3,87,0.18,0.11,0.07,58.62,7.07,-6.16,1.77,-2.06,0.034
2015-2019,0.1,IWM,-1.5,5,87,0.31,0.19,0.12,59.77,8.51,-8.5,2.31,-2.66,0.046
2015-2019,0.25,IWM,-1.5,1,87,-0.21,0.04,-0.24,44.83,4.56,-4.09,0.97,-1.16,-0.21
2015-2019,0.25,IWM,-1.5,3,87,0.03,0.11,-0.08,56.32,6.92,-6.31,1.69,-2.1,-0.039
2015-2019,0.25,IWM,-1.5,5,87,0.16,0.19,-0.03,57.47,8.36,-8.65,2.25,-2.66,-0.011
2015-2019,0.5,IWM,-1.5,1,87,-0.46,0.04,-0.49,36.78,4.31,-4.34,0.9,-1.25,-0.396
2015-2019,0.5,IWM,-1.5,3,87,-0.22,0.11,-0.33,50.57,6.67,-6.56,1.61,-2.09,-0.158
2015-2019,0.5,IWM,-1.5,5,87,-0.09,0.19,-0.28,55.17,8.11,-8.9,2.09,-2.77,-0.101
2015-2019,0.0,IWM,-2.0,1,40,0.08,0.04,0.04,57.5,2.19,-3.28,1.04,-1.22,0.035
2015-2019,0.0,IWM,-2.0,3,40,0.12,0.11,0.01,60.0,5.79,-6.06,1.77,-2.34,0.004
2015-2019,0.0,IWM,-2.0,5,40,0.42,0.19,0.23,60.0,5.06,-8.13,2.26,-2.34,0.098
2015-2019,0.1,IWM,-2.0,1,40,-0.02,0.04,-0.06,55.0,2.09,-3.38,0.99,-1.25,-0.046
2015-2019,0.1,IWM,-2.0,3,40,0.02,0.11,-0.09,57.5,5.69,-6.16,1.74,-2.3,-0.039
2015-2019,0.1,IWM,-2.0,5,40,0.32,0.19,0.13,57.5,4.96,-8.23,2.25,-2.3,0.056
2015-2019,0.25,IWM,-2.0,1,40,-0.17,0.04,-0.21,50.0,1.94,-3.53,0.93,-1.27,-0.163
2015-2019,0.25,IWM,-2.0,3,40,-0.13,0.11,-0.24,55.0,5.54,-6.31,1.67,-2.32,-0.104
2015-2019,0.25,IWM,-2.0,5,40,0.17,0.19,-0.02,52.5,4.81,-8.38,2.32,-2.2,-0.01
