Date,Ticker,Drop threshold (%),Holding period,Daily_Return,Return_5_Day_Later,Trade return,Trade return after costs,Cumulative return,Running peak,Drawdown
2022-12-15,SPY,-2.0,5,-0.024461561074910265,-0.01838074102942555,-0.01838074102942555,-0.019380741029425552,0.9650624257325213,1.318198491261926,-0.1523321091185651
2023-02-21,SPY,-2.0,5,-0.020060865020575025,-0.007091193543895757,-0.007091193543895757,-0.008091193543895758,0.9491627253200823,1.318198491261926,-0.15919075408463268
2024-07-24,SPY,-2.0,5,-0.022662531867334357,0.017700318489830114,0.017700318489830114,0.016700318489830113,0.9817143636214332,1.318198491261926,-0.14514897188865206
2024-08-05,SPY,-2.0,5,-0.029123696231264207,0.03071248449938624,0.03071248449938624,0.029712484499386238,1.040596020932746,1.318198491261926,-0.11974922396660925
2024-09-03,SPY,-2.0,5,-0.020579137680261428,-0.005959304661401488,-0.005959304661401488,-0.006959304661401488,1.0263948915322314,1.318198491261926,-0.12587515729546073
2024-12-18,SPY,-2.0,5,-0.02980346115350485,0.029139457016410963,0.029139457016410963,0.028139457016410963,1.083416543480777,1.318198491261926,-0.10127775885719947
2010-01-22,QQQ,-2.5,5,-0.02923699567773519,-0.031023812308814902,-0.031023812308814902,-0.0320238123088149,-0.0320238123088149,-0.0320238123088149,0.0
2010-01-28,QQQ,-2.5,5,-0.02572712440174052,-0.02135501184166899,-0.02135501184166899,-0.022355011841668992,-0.05366293144710499,-0.0320238123088149,-0.022355011841668992
2010-02-04,QQQ,-2.5,5,-0.028936258430009687,0.024636296027428894,0.024636296027428894,0.023636296027428894,-0.03129502835305942,-0.03129502835305942,0.0
2010-05-04,QQQ,-2.5,5,-0.03004173935792498,-0.014660614200281197,-0.014660614200281197,-0.015660614200281198,-0.046465543187916514,-0.03129502835305942,-0.015660614200281198
2010-05-06,QQQ,-2.5,5,-0.033416325361835475,0.027485554631917708,0.027485554631917708,0.026485554631917707,-0.02121065423860402,-0.02121065423860402,0.0
2010-05-20,QQQ,-2.5,5,-0.037125889179216,0.03427331302482228,0.03427331302482228,0.03327331302482228,0.011356910048275992,0.011356910048275992,0.0
2010-06-04,QQQ,-2.5,5,-0.03426838813772082,0.009093337988735684,0.009093337988735684,0.008093337988735683,0.019542163348540198,0.019542163348540198,0.0
2010-06-29,QQQ,-2.5,5,-0.038572597270789544,0.013604083809474643,0.013604083809474643,0.012604083809474642,0.03239255822267828,0.03239255822267828,0.0
2010-07-16,QQQ,-2.5,5,-0.027631565050661555,0.038790797481920825,0.038790797481920825,0.037790797481920824,0.07140749631231347,0.07140749631231347,0.0
2010-08-11,QQQ,-2.5,5,-0.027212237931723227,0.0033040140380815597,0.0033040140380815597,0.0023040140380815597,0.07387603422432298,0.07387603422432298,0.0
2011-01-28,QQQ,-2.5,5,-0.025358180661427254,0.029607116571538805,0.029607116571538805,0.028607116571538804,0.10459653111875977,0.10459653111875977,0.0
2011-02-22,QQQ,-2.5,5,-0.028945990534281152,-0.0033315426087972,-0.0033315426087972,-0.0043315426087972,0.09981192417868923,0.10459653111875977,-0.004331542608797201
2011-07-27,QQQ,-2.5,5,-0.0258260362533429,-0.022034516245868496,-0.022034516245868496,-0.023034516245868497,0.07447828854379535,0.10459653111875977,-0.02726628386607366
2011-08-02,QQQ,-2.5,5,-0.025289698719952125,-0.05757944888229649,-0.05757944888229649,-0.05857944888229649,0.011535942564906643,0.10459653111875977,-0.08424848886642733
2011-08-04,QQQ,-2.5,5,-0.046470805730164044,-0.019752549892335436,-0.019752549892335436,-0.020752549892335437,-0.009456007551062129,0.10459653111875977,-0.10325266779020836
2011-08-08,QQQ,-2.5,5,-0.06018957300082317,0.07452107028045885,0.07452107028045885,0.07352107028045884,0.06336984693366232,0.10459653111875977,-0.037322844154998536
2011-08-10,QQQ,-2.5,5,-0.040920559213651675,0.05348015835636222,0.05348015835636222,0.052480158356362216,0.11917566489212161,0.11917566489212161,0.0
2011-08-18,QQQ,-2.5,5,-0.04908499001318689,0.017271731092884046,0.017271731092884046,0.016271731092884045,0.137386590356946,0.137386590356946,0.0
2011-09-22,QQQ,-2.5,5,-0.03250277853214123,0.005598833399710568,0.005598833399710568,0.004598833399710568,0.1426172417970626,0.1426172417970626,0.0
2011-09-30,QQQ,-2.5,5,-0.02579780557200606,0.030101024767929863,0.030101024767929863,0.02910102476792986,0.17586857445086257,0.17586857445086257,0.0
2011-10-03,QQQ,-2.5,5,-0.025719179838755823,0.09386003083629224,0.09386003083629224,0.09286003083629224,0.2850597665337966,0.2850597665337966,0.0
2011-11-01,QQQ,-2.5,5,-0.02605721534472727,0.04323182233784717,0.04323182233784717,0.04223182233784717,0.3393301822875674,0.3393301822875674,0.0
2011-11-09,QQQ,-2.5,5,-0.03515597704550866,0.006336619307178992,0.006336619307178992,0.005336619307178992,0.34647767759705084,0.34647767759705084,0.0
