Period,Transaction cost (%),Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2015-2019,0.1,QQQ,-1.5,3,88,0.55,0.2,0.34,55.68,7.19,-8.5,2.47,-1.86,0.184
2015-2019,0.1,QQQ,-2.0,3,54,0.63,0.2,0.42,59.26,7.19,-8.5,2.67,-2.35,0.18
2015-2019,0.1,XLF,-1.5,3,84,0.5,0.15,0.35,61.9,7.22,-9.03,2.08,-2.07,0.171
2015-2019,0.1,XLF,-1.0,5,148,0.6,0.24,0.36,63.51,7.56,-6.07,2.17,-2.12,0.169
2015-2019,0.1,XLF,-2.0,3,48,0.52,0.15,0.37,62.5,7.22,-9.03,2.32,-2.49,0.15
2015-2019,0.1,DIA,-1.0,5,111,0.55,0.25,0.3,63.96,6.9,-7.6,2.0,-2.01,0.149
2015-2019,0.1,XLV,-1.5,5,69,0.54,0.21,0.33,65.22,6.4,-7.12,2.05,-2.3,0.143
2015-2019,0.1,XLV,-2.0,3,38,0.44,0.13,0.31,60.53,5.54,-8.21,2.2,-2.26,0.137
2015-2019,0.1,SPY,-1.0,5,104,0.54,0.24,0.3,66.35,6.66,-7.8,1.97,-2.27,0.132
2015-2019,0.1,DIA,-1.5,3,58,0.42,0.15,0.27,63.79,5.58,-7.87,1.86,-2.12,0.127
2015-2019,0.1,SPY,-1.0,3,104,0.37,0.14,0.22,60.58,6.31,-8.29,1.83,-1.87,0.119
2015-2019,0.1,XLV,-1.0,5,145,0.46,0.21,0.25,66.21,6.4,-8.22,1.8,-2.15,0.117
2015-2019,0.1,DIA,-1.0,3,111,0.3,0.15,0.14,57.66,6.19,-7.87,1.74,-1.68,0.085
2015-2019,0.1,XLF,-1.0,3,148,0.3,0.15,0.15,55.41,7.22,-9.03,1.98,-1.79,0.083
2015-2019,0.1,XLK,-1.0,3,144,0.37,0.23,0.15,56.94,6.53,-8.44,2.14,-1.96,0.074
2015-2019,0.1,XLF,-1.5,1,84,0.14,0.05,0.09,63.1,4.43,-5.14,1.04,-1.4,0.067
2015-2019,0.1,IWM,-2.0,5,40,0.32,0.19,0.13,57.5,4.96,-8.23,2.25,-2.3,0.056
2015-2019,0.1,XLF,-2.5,1,27,0.15,0.05,0.1,59.26,4.12,-4.37,1.45,-1.75,0.056
2015-2019,0.1,XLE,-1.0,3,241,0.11,0.01,0.1,55.19,10.93,-10.84,1.97,-2.17,0.048
2015-2019,0.1,IWM,-1.5,5,87,0.31,0.19,0.12,59.77,8.51,-8.5,2.31,-2.66,0.046
2015-2019,0.1,XLV,-1.5,3,69,0.21,0.13,0.08,55.07,5.54,-8.21,1.9,-1.85,0.046
2015-2019,0.1,DIA,-2.0,1,30,0.13,0.05,0.08,63.33,4.76,-4.67,1.3,-1.9,0.041
2015-2019,0.1,XLF,-1.0,1,148,0.1,0.05,0.05,58.78,4.43,-5.14,1.01,-1.2,0.041
2015-2019,0.1,XLV,-1.0,3,145,0.19,0.13,0.06,55.86,5.55,-8.21,1.67,-1.68,0.037
2015-2019,0.1,IWM,-1.5,3,87,0.18,0.11,0.07,58.62,7.07,-6.16,1.77,-2.06,0.034
2015-2019,0.1,SPY,-2.0,1,30,0.11,0.05,0.06,63.33,4.95,-4.31,1.41,-2.15,0.028
2015-2019,0.1,XLE,-2.5,3,44,0.06,0.01,0.05,59.09,6.89,-10.84,2.44,-3.38,0.014
2015-2019,0.1,XLF,-2.0,1,48,0.06,0.05,0.01,58.33,4.43,-5.14,1.29,-1.67,0.007
2015-2019,0.1,XLV,-2.0,1,38,0.05,0.04,0.01,57.89,4.26,-4.35,1.43,-1.84,0.005
2015-2019,0.25,QQQ,-2.5,5,33,1.67,0.34,1.33,72.73,7.73,-2.82,2.78,-1.29,1.034
2015-2019,0.25,XLK,-2.5,5,30,1.63,0.38,1.25,63.33,8.25,-4.69,3.3,-1.26,0.992
2015-2019,0.25,SPY,-2.0,5,30,1.2,0.24,0.96,70.0,6.51,-5.31,2.44,-1.7,0.563
2015-2019,0.25,XLF,-2.5,5,27,1.01,0.24,0.77,70.37,6.6,-5.26,2.35,-2.18,0.352
2015-2019,0.25,XLK,-2.0,5,50,1.08,0.38,0.7,64.0,8.25,-8.68,2.9,-2.15,0.327
2015-2019,0.25,QQQ,-2.5,3,33,0.77,0.2,0.57,63.64,7.04,-8.65,2.39,-2.07,0.274
2015-2019,0.25,XLE,-3.0,5,30,1.04,0.02,1.02,60.0,10.3,-8.24,4.27,-3.81,0.268
2015-2019,0.25,XLV,-2.0,5,38,0.71,0.21,0.5,63.16,6.25,-6.89,2.26,-1.96,0.253
2015-2019,0.25,SPY,-1.5,5,56,0.74,0.24,0.5,67.86,6.51,-7.95,2.14,-2.24,0.222
2015-2019,0.25,SPY,-2.0,3,30,0.59,0.14,0.45,60.0,5.47,-8.44,2.36,-2.06,0.216
2015-2019,0.25,DIA,-2.0,5,30,0.78,0.25,0.52,66.67,6.75,-7.75,2.38,-2.44,0.213
2015-2019,0.25,XLK,-1.5,5,93,0.85,0.38,0.47,63.44,8.73,-8.68,2.63,-2.25,0.208
2015-2019,0.25,XLF,-2.5,3,27,0.59,0.15,0.44,59.26,7.07,-4.87,2.46,-2.14,0.208
2015-2019,0.25,XLF,-2.0,5,48,0.72,0.24,0.48,64.58,7.41,-5.97,2.44,-2.42,0.198
2015-2019,0.25,SPY,-1.5,3,56,0.48,0.14,0.33,57.14,5.47,-8.44,2.12,-1.71,0.196
2015-2019,0.25,QQQ,-2.0,5,54,0.79,0.34,0.45,61.11,7.73,-8.84,2.75,-2.29,0.196
2015-2019,0.25,QQQ,-1.5,5,88,0.73,0.34,0.39,60.23,7.73,-8.84,2.67,-2.21,0.178
2015-2019,0.25,XLF,-1.5,5,84,0.67,0.24,0.42,65.48,7.41,-6.22,2.3,-2.43,0.175
2015-2019,0.25,XLE,-3.0,3,30,0.6,0.01,0.59,66.67,6.74,-6.57,2.61,-3.43,0.172
2015-2019,0.25,XLK,-1.0,5,144,0.67,0.38,0.29,62.5,8.73,-8.68,2.4,-2.2,0.133
2015-2019,0.25,DIA,-1.5,5,58,0.54,0.25,0.29,65.52,6.75,-7.75,1.98,-2.19,0.132
2015-2019,0.25,QQQ,-1.0,5,148,0.59,0.34,0.25,61.49,7.73,-8.84,2.28,-2.12,0.117
2015-2019,0.25,QQQ,-2.0,3,54,0.48,0.2,0.27,59.26,7.04,-8.65,2.52,-2.5,0.109
2015-2019,0.25,XLF,-1.5,3,84,0.35,0.15,0.2,58.33,7.07,-9.18,2.05,-2.03,0.1
2015-2019,0.25,QQQ,-1.5,3,88,0.4,0.2,0.19,55.68,7.04,-8.65,2.32,-2.01,0.096
2015-2019,0.25,XLF,-1.0,5,148,0.45,0.24,0.21,62.16,7.41,-6.22,2.06,-2.2,0.095
2015-2019,0.25,XLF,-2.0,3,48,0.37,0.15,0.22,60.42,7.07,-9.18,2.25,-2.5,0.089
2015-2019,0.25,XLV,-1.5,5,69,0.39,0.21,0.18,60.87,6.25,-7.27,2.05,-2.19,0.082
2015-2019,0.25,DIA,-1.0,5,111,0.4,0.25,0.15,60.36,6.75,-7.75,1.96,-1.97,0.076
2015-2019,0.25,XLV,-2.0,3,38,0.29,0.13,0.16,57.89,5.39,-8.36,2.15,-2.27,0.07
2015-2019,0.25,SPY,-1.0,5,104,0.39,0.24,0.15,62.5,6.51,-7.95,1.93,-2.18,0.068
2015-2019,0.25,DIA,-1.5,3,58,0.27,0.15,0.12,60.34,5.43,-8.02,1.82,-2.08,0.058
2015-2019,0.25,XLV,-1.0,5,145,0.31,0.21,0.1,62.76,6.25,-8.37,1.74,-2.1,0.049
2015-2019,0.5,QQQ,-2.5,5,33,1.42,0.34,1.08,66.67,7.48,-3.07,2.76,-1.27,0.853
2015-2019,0.5,XLK,-2.5,5,30,1.38,0.38,1.0,63.33,8.0,-4.94,3.05,-1.51,0.662
2015-2019,0.5,SPY,-2.0,5,30,0.95,0.24,0.71,70.0,6.26,-5.56,2.19,-1.95,0.363
2015-2019,0.5,XLF,-2.5,5,27,0.76,0.24,0.52,70.37,6.35,-5.51,2.1,-2.43,0.213
2015-2019,0.5,XLE,-3.0,5,30,0.79,0.02,0.77,60.0,10.05,-8.49,4.02,-4.06,0.19
2015-2019,0.5,XLK,-2.0,5,50,0.83,0.38,0.45,64.0,8.0,-8.93,2.65,-2.4,0.188
2015-2019,0.5,QQQ,-2.5,3,33,0.52,0.2,0.32,60.61,6.79,-8.9,2.26,-2.15,0.147
2015-2019,0.5,XLV,-2.0,5,38,0.46,0.21,0.25,60.53,6.0,-7.14,2.1,-2.07,0.119
2015-2019,0.5,SPY,-1.5,5,56,0.49,0.24,0.25,64.29,6.26,-8.2,2.0,-2.25,0.11
2015-2019,0.5,DIA,-2.0,5,30,0.53,0.25,0.27,63.33,6.5,-8.0,2.25,-2.46,0.11
2015-2019,0.5,XLE,-3.0,3,30,0.35,0.01,0.34,63.33,6.49,-6.82,2.5,-3.37,0.101
2015-2019,0.5,XLK,-1.5,5,93,0.6,0.38,0.22,60.22,8.48,-8.93,2.52,-2.31,0.095
2015-2019,0.5,SPY,-2.0,3,30,0.34,0.14,0.2,56.67,5.22,-8.69,2.24,-2.14,0.091
2015-2019,0.5,XLF,-2.5,3,27,0.34,0.15,0.19,55.56,6.82,-5.12,2.37,-2.2,0.088
2015-2019,0.5,QQQ,-2.0,5,54,0.54,0.34,0.2,57.41,7.48,-9.09,2.66,-2.32,0.085
2015-2019,0.5,XLF,-2.0,5,48,0.47,0.24,0.23,64.58,7.16,-6.22,2.19,-2.67,0.085
2015-2019,0.5,XLF,-1.5,5,84,0.42,0.24,0.17,64.29,7.16,-6.47,2.09,-2.59,0.067
2015-2019,0.5,QQQ,-1.5,5,88,0.48,0.34,0.14,56.82,7.48,-9.09,2.57,-2.27,0.063
2015-2019,0.5,XLK,-1.0,5,144,0.42,0.38,0.04,58.33,8.48,-8.93,2.31,-2.21,0.019
2015-2019,0.5,DIA,-1.5,5,58,0.29,0.25,0.04,60.34,6.5,-8.0,1.89,-2.14,0.018
2015-2019,0.5,QQQ,-2.0,3,54,0.23,0.2,0.02,57.41,6.79,-8.9,2.35,-2.64,0.008
