Period,Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2010-2014,XLE,-2.5,5,43,1.27,0.2,1.07,69.77,12.63,-11.8,3.5,-3.89,0.274
2010-2014,XLE,-3.0,1,30,0.39,0.04,0.35,56.67,5.19,-5.64,1.9,-1.58,0.222
2010-2014,XLE,-3.0,3,30,1.01,0.12,0.88,56.67,9.54,-5.65,3.55,-2.32,0.382
2010-2014,XLE,-3.0,5,30,2.51,0.2,2.31,83.33,12.63,-5.06,3.73,-3.61,0.641
2010-2014,XLV,-1.0,1,127,0.11,0.07,0.04,59.06,4.57,-3.18,0.82,-0.91,0.046
2010-2014,XLV,-1.0,3,127,0.36,0.22,0.14,54.33,7.38,-5.87,1.69,-1.22,0.112
2010-2014,XLV,-1.0,5,127,0.53,0.37,0.16,67.72,7.38,-10.02,1.86,-2.27,0.071
2010-2014,XLV,-1.5,1,65,0.15,0.07,0.08,61.54,4.57,-2.57,0.86,-0.98,0.079
2010-2014,XLV,-1.5,3,65,0.1,0.22,-0.12,43.08,7.38,-5.87,1.97,-1.31,-0.093
2010-2014,XLV,-1.5,5,65,0.27,0.37,-0.09,58.46,7.38,-10.02,2.06,-2.24,-0.042
2010-2014,XLV,-2.0,1,28,0.36,0.07,0.28,64.29,4.57,-2.02,1.0,-0.81,0.348
2010-2014,XLV,-2.0,3,28,0.73,0.22,0.51,53.57,7.38,-3.69,2.49,-1.3,0.392
2010-2014,XLV,-2.0,5,28,0.85,0.37,0.48,64.29,7.38,-4.97,2.25,-1.67,0.288
2010-2014,XLV,-2.5,1,15,0.57,0.07,0.5,60.0,4.57,-2.02,1.5,-0.81,0.619
2010-2014,XLV,-2.5,3,15,1.53,0.22,1.31,66.67,7.38,-0.92,2.55,-0.51,2.574
2010-2014,XLV,-2.5,5,15,2.31,0.37,1.94,86.67,7.38,-0.76,2.77,-0.68,2.87
2010-2014,XLV,-3.0,1,7,1.3,0.07,1.23,71.43,4.57,-0.94,2.06,-0.6,2.045
2010-2014,XLV,-3.0,3,7,2.48,0.22,2.26,71.43,7.38,-0.92,3.75,-0.67,3.388
2010-2014,XLV,-3.0,5,7,3.41,0.37,3.05,85.71,7.38,-0.76,4.11,-0.76,4.01
