Period,Ticker,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2010-2024,XLK,-1.0,5,569,0.67,0.37,0.3,59.75,11.29,-17.04,2.91,-2.68,0.11
2010-2024,XLK,-1.5,1,350,0.24,0.08,0.16,58.0,11.73,-9.76,1.47,-1.46,0.109
2010-2024,XLK,-1.5,3,350,0.55,0.22,0.33,57.71,10.45,-13.1,2.61,-2.25,0.145
2010-2024,XLK,-1.5,5,350,0.82,0.37,0.44,60.57,11.29,-17.04,3.21,-2.86,0.154
2010-2024,XLK,-2.0,1,208,0.3,0.08,0.22,57.69,11.73,-9.76,1.63,-1.53,0.143
2010-2024,XLK,-2.0,3,208,0.59,0.22,0.36,59.62,9.35,-13.1,2.69,-2.51,0.145
2010-2024,XLK,-2.0,5,208,0.81,0.37,0.44,60.58,11.29,-17.04,3.42,-3.2,0.137
2010-2024,XLK,-2.5,1,124,0.37,0.08,0.29,54.84,11.73,-9.76,2.05,-1.67,0.176
2010-2024,XLK,-2.5,3,124,0.49,0.22,0.26,55.65,9.35,-13.1,2.97,-2.62,0.1
2010-2024,XLK,-2.5,5,124,0.88,0.37,0.5,59.68,11.29,-17.04,3.58,-3.12,0.161
2010-2024,XLK,-3.0,1,74,0.43,0.08,0.35,56.76,11.73,-9.76,2.16,-1.85,0.192
2010-2024,XLK,-3.0,3,74,0.51,0.22,0.28,58.11,9.35,-13.1,3.05,-3.02,0.094
2010-2024,XLK,-3.0,5,74,0.76,0.37,0.39,59.46,11.29,-17.04,3.74,-3.6,0.108
2010-2024,XLF,-1.0,1,570,0.18,0.05,0.12,57.54,13.16,-10.81,1.39,-1.47,0.083
2010-2024,XLF,-1.0,3,570,0.3,0.16,0.14,56.14,22.71,-12.92,2.33,-2.29,0.062
2010-2024,XLF,-1.0,5,570,0.56,0.26,0.29,59.65,21.23,-22.99,2.8,-2.76,0.106
2010-2024,XLF,-1.5,1,347,0.18,0.05,0.12,56.77,13.16,-10.81,1.63,-1.73,0.071
2010-2024,XLF,-1.5,3,347,0.21,0.16,0.05,55.04,22.71,-12.92,2.58,-2.71,0.018
2010-2024,XLF,-1.5,5,347,0.51,0.26,0.25,58.5,21.23,-22.99,3.16,-3.22,0.077
2010-2024,XLF,-2.0,1,210,0.15,0.05,0.1,55.24,13.16,-10.81,1.81,-1.9,0.051
2010-2024,XLF,-2.0,3,210,0.06,0.16,-0.1,53.33,22.71,-12.92,2.87,-3.15,-0.032
2010-2024,XLF,-2.0,5,210,0.36,0.26,0.1,55.24,21.23,-22.99,3.56,-3.59,0.028
2010-2024,XLF,-2.5,1,125,0.24,0.05,0.19,56.8,13.16,-10.81,2.18,-2.3,0.082
2010-2024,XLF,-2.5,3,125,0.04,0.16,-0.12,52.0,22.71,-12.92,3.41,-3.61,-0.032
2010-2024,XLF,-2.5,5,125,0.27,0.26,0.0,53.6,21.23,-22.99,3.96,-4.0,0.001
2010-2024,XLF,-3.0,1,76,0.32,0.05,0.27,55.26,13.16,-10.81,2.85,-2.79,0.097
2010-2024,XLF,-3.0,3,76,0.23,0.16,0.07,53.95,22.71,-12.92,3.71,-3.85,0.017
