Period,Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2020-2024,XLE,Sector,Core,-3.0,5,75,0.25,0.36,-0.11,56.0,23.9,-34.55,6.25,-7.4,-0.015
2020-2024,XLV,Sector,Core,-1.0,1,150,0.09,0.04,0.05,46.0,7.71,-7.47,1.34,-0.98,0.054
2020-2024,XLV,Sector,Core,-1.0,3,150,0.08,0.11,-0.03,56.0,16.39,-10.81,1.8,-2.15,-0.014
2020-2024,XLV,Sector,Core,-1.0,5,150,0.28,0.18,0.09,58.0,19.23,-13.2,2.29,-2.56,0.036
2020-2024,XLV,Sector,Core,-1.5,1,70,0.19,0.04,0.15,48.57,7.71,-7.47,1.72,-1.26,0.118
2020-2024,XLV,Sector,Core,-1.5,3,70,-0.02,0.11,-0.13,55.71,16.39,-10.81,2.07,-2.65,-0.049
2020-2024,XLV,Sector,Core,-1.5,5,70,0.39,0.18,0.21,60.0,19.23,-13.2,2.79,-3.21,0.064
2020-2024,XLV,Sector,Core,-2.0,1,36,0.55,0.04,0.51,58.33,7.71,-7.47,2.35,-1.96,0.262
2020-2024,XLV,Sector,Core,-2.0,3,36,-0.04,0.11,-0.15,61.11,16.39,-10.81,2.57,-4.13,-0.036
2020-2024,XLV,Sector,Core,-2.0,5,36,0.57,0.18,0.38,61.11,19.23,-13.2,3.94,-4.73,0.081
2020-2024,XLV,Sector,Core,-2.5,1,25,0.43,0.04,0.39,56.0,7.71,-7.47,2.39,-2.08,0.187
2020-2024,XLV,Sector,Core,-2.5,3,25,0.05,0.11,-0.06,64.0,16.39,-10.81,2.95,-5.09,-0.011
2020-2024,XLV,Sector,Core,-2.5,5,25,0.76,0.18,0.58,52.0,19.23,-11.27,5.1,-3.93,0.148
2020-2024,XLV,Sector,Core,-3.0,1,18,0.59,0.04,0.56,55.56,7.71,-7.47,3.15,-2.6,0.214
2020-2024,XLV,Sector,Core,-3.0,3,18,-0.18,0.11,-0.29,61.11,16.39,-10.81,3.63,-6.17,-0.047
2020-2024,XLV,Sector,Core,-3.0,5,18,0.73,0.18,0.54,50.0,19.23,-11.27,6.25,-4.8,0.113
2020-2024,XLI,Sector,Expanded Addition,-1.0,1,208,0.13,0.05,0.07,50.48,12.65,-10.35,1.56,-1.34,0.056
2020-2024,XLI,Sector,Expanded Addition,-1.0,3,208,0.28,0.16,0.12,54.33,26.06,-14.31,2.51,-2.41,0.048
