Period,Transaction cost (%),Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2020-2024,0.5,QQQ,Broad Index,Core,-2.0,1,105,-0.24,0.08,-0.32,40.0,7.97,-9.67,1.61,-1.47,-0.218
2020-2024,0.5,QQQ,Broad Index,Core,-2.0,3,105,-0.16,0.25,-0.41,48.57,7.9,-13.78,2.7,-2.87,-0.144
2020-2024,0.5,QQQ,Broad Index,Core,-2.0,5,105,0.05,0.42,-0.37,51.43,9.52,-16.7,3.42,-3.52,-0.105
2020-2024,0.0,QQQ,Broad Index,Core,-2.5,1,69,0.44,0.08,0.36,57.97,8.47,-9.17,1.75,-1.36,0.263
2020-2024,0.0,QQQ,Broad Index,Core,-2.5,3,69,0.13,0.25,-0.13,55.07,7.77,-13.28,2.83,-3.19,-0.039
2020-2024,0.0,QQQ,Broad Index,Core,-2.5,5,69,0.18,0.42,-0.24,56.52,10.02,-16.2,3.4,-4.0,-0.059
2020-2024,0.1,QQQ,Broad Index,Core,-2.5,1,69,0.34,0.08,0.26,53.62,8.37,-9.27,1.79,-1.33,0.195
2020-2024,0.1,QQQ,Broad Index,Core,-2.5,3,69,0.03,0.25,-0.23,53.62,7.67,-13.38,2.8,-3.19,-0.071
2020-2024,0.1,QQQ,Broad Index,Core,-2.5,5,69,0.08,0.42,-0.34,52.17,9.92,-16.3,3.58,-3.73,-0.09
2020-2024,0.25,QQQ,Broad Index,Core,-2.5,1,69,0.19,0.08,0.11,49.28,8.22,-9.42,1.79,-1.36,0.08
2020-2024,0.25,QQQ,Broad Index,Core,-2.5,3,69,-0.12,0.25,-0.38,49.28,7.52,-13.53,2.9,-3.06,-0.123
2020-2024,0.25,QQQ,Broad Index,Core,-2.5,5,69,-0.07,0.42,-0.49,50.72,9.77,-16.45,3.53,-3.77,-0.129
2020-2024,0.5,QQQ,Broad Index,Core,-2.5,1,69,-0.06,0.08,-0.14,42.03,7.97,-9.67,1.82,-1.42,-0.1
2020-2024,0.5,QQQ,Broad Index,Core,-2.5,3,69,-0.37,0.25,-0.63,47.83,7.27,-13.78,2.73,-3.22,-0.194
2020-2024,0.5,QQQ,Broad Index,Core,-2.5,5,69,-0.32,0.42,-0.74,47.83,9.52,-16.7,3.48,-3.8,-0.194
2020-2024,0.0,QQQ,Broad Index,Core,-3.0,1,42,0.55,0.08,0.46,59.52,8.47,-9.17,2.07,-1.69,0.275
2020-2024,0.0,QQQ,Broad Index,Core,-3.0,3,42,-0.07,0.25,-0.32,50.0,7.77,-13.28,3.0,-3.14,-0.103
2020-2024,0.0,QQQ,Broad Index,Core,-3.0,5,42,-0.22,0.42,-0.64,52.38,10.02,-16.2,3.37,-4.17,-0.153
2020-2024,0.1,QQQ,Broad Index,Core,-3.0,1,42,0.45,0.08,0.36,52.38,8.37,-9.27,2.24,-1.52,0.239
2020-2024,0.1,QQQ,Broad Index,Core,-3.0,3,42,-0.17,0.25,-0.42,50.0,7.67,-13.38,2.9,-3.24,-0.13
2020-2024,0.1,QQQ,Broad Index,Core,-3.0,5,42,-0.32,0.42,-0.74,50.0,9.92,-16.3,3.43,-4.07,-0.182
2020-2024,0.25,QQQ,Broad Index,Core,-3.0,1,42,0.3,0.08,0.21,47.62,8.22,-9.42,2.3,-1.53,0.14
2020-2024,0.25,QQQ,Broad Index,Core,-3.0,3,42,-0.32,0.25,-0.57,45.24,7.52,-13.53,3.04,-3.1,-0.184
2020-2024,0.25,QQQ,Broad Index,Core,-3.0,5,42,-0.47,0.42,-0.89,47.62,9.77,-16.45,3.44,-4.03,-0.221
2020-2024,0.5,QQQ,Broad Index,Core,-3.0,1,42,0.05,0.08,-0.04,40.48,7.97,-9.67,2.43,-1.57,-0.023
2020-2024,0.5,QQQ,Broad Index,Core,-3.0,3,42,-0.57,0.25,-0.82,45.24,7.27,-13.78,2.79,-3.35,-0.245
2020-2024,0.5,QQQ,Broad Index,Core,-3.0,5,42,-0.72,0.42,-1.14,45.24,9.52,-16.7,3.36,-4.09,-0.278
2020-2024,0.0,IWM,Broad Index,Core,-1.0,1,281,0.09,0.04,0.04,52.67,9.15,-11.05,1.48,-1.47,0.029
2020-2024,0.0,IWM,Broad Index,Core,-1.0,3,281,0.26,0.13,0.13,54.09,17.38,-17.68,2.68,-2.62,0.05
2020-2024,0.0,IWM,Broad Index,Core,-1.0,5,281,0.47,0.22,0.25,55.87,15.6,-24.0,3.45,-3.32,0.077
2020-2024,0.1,IWM,Broad Index,Core,-1.0,1,281,-0.01,0.04,-0.06,51.25,9.05,-11.15,1.42,-1.52,-0.038
2020-2024,0.1,IWM,Broad Index,Core,-1.0,3,281,0.16,0.13,0.03,53.02,17.28,-17.78,2.64,-2.66,0.012
2020-2024,0.1,IWM,Broad Index,Core,-1.0,5,281,0.37,0.22,0.15,55.16,15.5,-24.1,3.39,-3.37,0.046
2020-2024,0.25,IWM,Broad Index,Core,-1.0,1,281,-0.16,0.04,-0.21,48.04,8.9,-11.3,1.36,-1.57,-0.132
2020-2024,0.25,IWM,Broad Index,Core,-1.0,3,281,0.01,0.13,-0.12,51.25,17.13,-17.93,2.57,-2.7,-0.044
2020-2024,0.25,IWM,Broad Index,Core,-1.0,5,281,0.22,0.22,0.0,53.74,15.35,-24.25,3.33,-3.41,0.001
2020-2024,0.5,IWM,Broad Index,Core,-1.0,1,281,-0.41,0.04,-0.46,41.64,8.65,-11.55,1.3,-1.64,-0.279
2020-2024,0.5,IWM,Broad Index,Core,-1.0,3,281,-0.24,0.13,-0.37,47.69,16.88,-18.18,2.51,-2.76,-0.134
