Period,Transaction cost (%),Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return after costs (%),Benchmark average return (%),Edge vs benchmark after costs (%),Win rate after costs (%),Best return after costs (%),Worst return after costs (%),Average winning trade after costs (%),Average losing trade after costs (%),Risk-adjusted score after costs
2015-2019,0.1,XLI,Sector,Expanded Addition,-2.0,5,38,0.84,0.22,0.62,57.89,8.14,-5.46,2.72,-1.74,0.355
2015-2019,0.1,XLV,Sector,Core,-2.0,5,38,0.86,0.21,0.65,65.79,6.4,-6.74,2.32,-1.95,0.331
2015-2019,0.1,IGV,Software,Expanded Addition,-3.0,3,29,1.12,0.25,0.87,62.07,8.26,-8.69,3.44,-2.68,0.326
2015-2019,0.1,XLE,Sector,Core,-3.0,5,30,1.19,0.02,1.17,60.0,10.45,-8.09,4.42,-3.66,0.32
2015-2019,0.1,XLY,Sector,Expanded Addition,-2.0,3,38,0.74,0.17,0.57,60.53,6.71,-7.55,2.41,-1.83,0.312
2015-2019,0.1,SPY,Broad Index,Core,-2.0,3,30,0.74,0.14,0.6,60.0,5.62,-8.29,2.51,-1.91,0.311
2015-2019,0.1,SPY,Broad Index,Core,-1.5,5,56,0.89,0.24,0.65,67.86,6.66,-7.8,2.29,-2.09,0.31
2015-2019,0.1,XLK,Sector,Core,-2.0,3,50,0.79,0.23,0.56,60.0,6.53,-8.44,2.53,-1.82,0.308
2015-2019,0.1,XLF,Sector,Core,-2.5,3,27,0.74,0.15,0.59,59.26,7.22,-4.72,2.61,-1.99,0.299
2015-2019,0.1,XLI,Sector,Expanded Addition,-2.0,3,38,0.62,0.13,0.49,60.53,5.97,-7.55,2.18,-1.77,0.278
2015-2019,0.1,XLF,Sector,Core,-2.0,5,48,0.87,0.24,0.63,64.58,7.56,-5.82,2.59,-2.27,0.277
2015-2019,0.1,SPY,Broad Index,Core,-1.5,3,56,0.63,0.14,0.48,62.5,5.62,-8.29,2.08,-1.79,0.271
2015-2019,0.1,XLK,Sector,Core,-1.5,5,93,1.0,0.38,0.62,66.67,8.88,-8.53,2.65,-2.31,0.268
2015-2019,0.1,QQQ,Broad Index,Core,-2.0,5,54,0.94,0.34,0.6,62.96,7.88,-8.69,2.82,-2.25,0.266
2015-2019,0.1,SLV,Commodities,Expanded Addition,-2.5,1,36,0.28,0.02,0.27,61.11,2.58,-3.2,1.11,-1.02,0.264
2015-2019,0.1,SOXX,Semiconductors,Expanded Addition,-3.0,5,37,1.19,0.48,0.71,59.46,9.56,-6.26,3.83,-2.69,0.263
2015-2019,0.1,DIA,Broad Index,Core,-2.0,5,30,0.93,0.25,0.67,70.0,6.9,-7.6,2.42,-2.56,0.262
2015-2019,0.1,IGV,Software,Expanded Addition,-2.5,5,43,1.23,0.42,0.82,65.12,9.57,-9.31,3.58,-3.16,0.258
2015-2019,0.1,XLF,Sector,Core,-1.5,5,84,0.82,0.24,0.57,65.48,7.56,-6.07,2.45,-2.28,0.252
2015-2019,0.1,QQQ,Broad Index,Core,-1.5,5,88,0.88,0.34,0.54,62.5,7.88,-8.69,2.72,-2.18,0.249
2015-2019,0.1,XLE,Sector,Core,-3.0,3,30,0.75,0.01,0.74,66.67,6.89,-6.42,2.76,-3.28,0.226
2015-2019,0.1,SOXX,Semiconductors,Expanded Addition,-3.0,1,37,0.5,0.1,0.4,64.86,4.41,-4.16,1.72,-1.77,0.225
2015-2019,0.1,IGV,Software,Expanded Addition,-1.5,5,114,0.95,0.42,0.53,65.79,9.57,-9.31,2.71,-2.45,0.216
2015-2019,0.1,SOXX,Semiconductors,Expanded Addition,-2.5,5,59,1.01,0.48,0.53,55.93,9.56,-6.26,3.75,-2.47,0.214
2015-2019,0.1,XLY,Sector,Expanded Addition,-1.5,3,65,0.56,0.17,0.39,58.46,6.71,-7.55,2.32,-1.92,0.206
2015-2019,0.1,XLY,Sector,Expanded Addition,-1.5,5,65,0.76,0.28,0.48,64.62,8.36,-8.12,2.44,-2.33,0.206
2015-2019,0.1,DIA,Broad Index,Core,-1.5,5,58,0.69,0.25,0.44,67.24,6.9,-7.6,2.08,-2.15,0.204
2015-2019,0.1,XLK,Sector,Core,-1.0,5,144,0.82,0.38,0.44,64.58,8.88,-8.53,2.47,-2.17,0.204
2015-2019,0.1,XLK,Sector,Core,-1.5,3,93,0.61,0.23,0.38,60.22,6.53,-8.44,2.36,-2.02,0.189
2015-2019,0.1,XLB,Sector,Expanded Addition,-2.0,3,43,0.51,0.1,0.41,58.14,6.5,-5.44,2.48,-2.21,0.187
2015-2019,0.1,IGV,Software,Expanded Addition,-2.0,5,66,0.99,0.42,0.58,65.15,9.57,-9.31,3.19,-3.12,0.185
2015-2019,0.1,QQQ,Broad Index,Core,-1.0,5,148,0.74,0.34,0.4,64.86,7.88,-8.69,2.31,-2.16,0.184
2015-2019,0.1,QQQ,Broad Index,Core,-1.5,3,88,0.55,0.2,0.34,55.68,7.19,-8.5,2.47,-1.86,0.184
2015-2019,0.1,QQQ,Broad Index,Core,-2.0,3,54,0.63,0.2,0.42,59.26,7.19,-8.5,2.67,-2.35,0.18
2015-2019,0.1,XLI,Sector,Expanded Addition,-1.5,5,73,0.58,0.22,0.36,57.53,8.14,-8.04,2.51,-2.04,0.177
2015-2019,0.1,XLF,Sector,Core,-1.5,3,84,0.5,0.15,0.35,61.9,7.22,-9.03,2.08,-2.07,0.171
2015-2019,0.1,XLF,Sector,Core,-1.0,5,148,0.6,0.24,0.36,63.51,7.56,-6.07,2.17,-2.12,0.169
2015-2019,0.1,SOXX,Semiconductors,Expanded Addition,-2.0,5,86,0.87,0.48,0.39,58.14,9.56,-6.26,3.25,-2.44,0.158
2015-2019,0.1,XLF,Sector,Core,-2.0,3,48,0.52,0.15,0.37,62.5,7.22,-9.03,2.32,-2.49,0.15
