Period,Ticker,Category,Universe,Drop threshold,Number of big drop days,Average 1-day return,Benchmark average 1-day return,Edge vs benchmark 1-day return,1-day win rate,Best 1-day return,Worst 1-day return,Average 1-day winning trade,Average 1-day losing trade,Average 3-day return,Benchmark average 3-day return,Edge vs benchmark 3-day return,3-day win rate,Best 3-day return,Worst 3-day return,Average 3-day winning trade,Average 3-day losing trade,Average 5-day return,Benchmark average 5-day return,Edge vs benchmark 5-day return,5-day win rate,Best 5-day return,Worst 5-day return,Average 5-day winning trade,Average 5-day losing trade
2010-2014,TLT,Bonds,Expanded Addition,-2.0%,23,0.63%,0.04%,0.59%,69.57%,3.16%,-1.39%,1.19%,-0.65%,1.09%,0.13%,0.96%,60.87%,8.58%,-2.08%,2.24%,-0.70%,0.90%,0.22%,0.68%,69.57%,6.56%,-3.03%,2.15%,-1.97%
2010-2014,TLT,Bonds,Expanded Addition,-2.5%,9,1.40%,0.04%,1.36%,100.00%,3.16%,0.15%,1.40%,nan%,2.41%,0.13%,2.28%,88.89%,8.58%,-0.85%,2.81%,-0.85%,2.19%,0.22%,1.97%,88.89%,6.56%,-1.39%,2.64%,-1.39%
2010-2014,TLT,Bonds,Expanded Addition,-3.0%,3,1.33%,0.04%,1.29%,100.00%,1.98%,0.97%,1.33%,nan%,3.83%,0.13%,3.69%,100.00%,8.58%,0.28%,3.83%,nan%,4.56%,0.22%,4.34%,100.00%,6.56%,1.37%,4.56%,nan%
2010-2014,HYG,Bonds,Expanded Addition,-1.0%,41,0.16%,0.03%,0.13%,46.34%,3.05%,-2.48%,1.01%,-0.57%,0.42%,0.09%,0.33%,60.98%,3.15%,-3.83%,1.63%,-1.47%,0.86%,0.15%,0.71%,60.98%,5.11%,-4.33%,2.15%,-1.15%
2010-2014,HYG,Bonds,Expanded Addition,-1.5%,12,0.60%,0.03%,0.57%,58.33%,3.05%,-1.21%,1.35%,-0.45%,1.42%,0.09%,1.34%,75.00%,3.15%,-1.44%,2.17%,-0.81%,1.57%,0.15%,1.42%,66.67%,5.11%,-1.35%,2.85%,-1.01%
2010-2014,HYG,Bonds,Expanded Addition,-2.0%,5,1.01%,0.03%,0.98%,60.00%,3.05%,-0.10%,1.72%,-0.06%,1.25%,0.09%,1.16%,80.00%,3.15%,-1.44%,1.92%,-1.44%,1.41%,0.15%,1.27%,60.00%,4.34%,-1.35%,2.97%,-0.92%
2010-2014,HYG,Bonds,Expanded Addition,-2.5%,3,1.65%,0.03%,1.62%,66.67%,3.05%,-0.10%,2.53%,-0.10%,1.25%,0.09%,1.17%,66.67%,3.15%,-1.44%,2.60%,-1.44%,1.74%,0.15%,1.59%,66.67%,4.34%,-1.35%,3.28%,-1.35%
2010-2014,HYG,Bonds,Expanded Addition,-3.0%,1,3.05%,0.03%,3.03%,100.00%,3.05%,3.05%,3.05%,nan%,3.15%,0.09%,3.06%,100.00%,3.15%,3.15%,3.15%,nan%,4.34%,0.15%,4.20%,100.00%,4.34%,4.34%,4.34%,nan%
2010-2014,LQD,Bonds,Expanded Addition,-1.0%,10,-0.12%,0.03%,-0.14%,50.00%,1.14%,-1.38%,0.67%,-0.91%,0.10%,0.08%,0.02%,60.00%,1.70%,-2.82%,0.96%,-1.19%,0.73%,0.13%,0.60%,80.00%,2.11%,-1.76%,1.15%,-0.93%
2010-2014,LQD,Bonds,Expanded Addition,-1.5%,2,0.73%,0.03%,0.71%,100.00%,1.14%,0.32%,0.73%,nan%,1.38%,0.08%,1.30%,100.00%,1.70%,1.06%,1.38%,nan%,1.72%,0.13%,1.58%,100.00%,2.11%,1.32%,1.72%,nan%
2010-2014,LQD,Bonds,Expanded Addition,-2.0%,1,1.14%,0.03%,1.11%,100.00%,1.14%,1.14%,1.14%,nan%,1.70%,0.08%,1.62%,100.00%,1.70%,1.70%,1.70%,nan%,2.11%,0.13%,1.98%,100.00%,2.11%,2.11%,2.11%,nan%
2010-2014,LQD,Bonds,Expanded Addition,-2.5%,0,nan%,0.03%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,0.08%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,0.13%,nan%,nan%,nan%,nan%,nan%,nan%
2010-2014,LQD,Bonds,Expanded Addition,-3.0%,0,nan%,0.03%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,0.08%,nan%,nan%,nan%,nan%,nan%,nan%,nan%,0.13%,nan%,nan%,nan%,nan%,nan%,nan%
2010-2014,GLD,Commodities,Expanded Addition,-1.0%,180,0.02%,0.01%,0.02%,57.22%,3.99%,-8.78%,0.84%,-1.08%,0.01%,0.03%,-0.02%,56.11%,4.96%,-12.90%,1.50%,-1.94%,-0.06%,0.04%,-0.10%,53.89%,7.47%,-11.86%,1.97%,-2.48%
2010-2014,GLD,Commodities,Expanded Addition,-1.5%,91,0.15%,0.01%,0.14%,61.54%,3.99%,-8.78%,1.02%,-1.25%,0.08%,0.03%,0.05%,61.54%,3.76%,-12.90%,1.43%,-2.09%,0.02%,0.04%,-0.03%,57.14%,5.18%,-11.86%,2.04%,-2.68%
2010-2014,GLD,Commodities,Expanded Addition,-2.0%,56,0.10%,0.01%,0.09%,62.50%,3.99%,-8.78%,1.14%,-1.63%,0.19%,0.03%,0.17%,66.07%,3.76%,-7.70%,1.37%,-2.10%,0.50%,0.04%,0.46%,64.29%,5.18%,-8.22%,2.24%,-2.62%
2010-2014,GLD,Commodities,Expanded Addition,-2.5%,28,-0.19%,0.01%,-0.20%,64.29%,3.99%,-8.78%,1.11%,-2.53%,0.09%,0.03%,0.06%,60.71%,3.76%,-7.70%,1.68%,-2.37%,0.33%,0.04%,0.29%,64.29%,5.02%,-6.71%,2.20%,-3.03%
2010-2014,GLD,Commodities,Expanded Addition,-3.0%,14,-0.47%,0.01%,-0.47%,64.29%,2.67%,-8.78%,1.04%,-3.18%,-0.14%,0.03%,-0.16%,50.00%,2.41%,-7.70%,1.39%,-1.66%,0.59%,0.04%,0.55%,71.43%,5.02%,-6.20%,2.19%,-3.39%
2010-2014,SLV,Commodities,Expanded Addition,-1.0%,299,-0.00%,0.01%,-0.02%,54.52%,6.75%,-14.15%,1.49%,-1.81%,0.05%,0.03%,0.02%,52.51%,11.27%,-21.27%,2.66%,-2.89%,-0.02%,0.04%,-0.06%,49.16%,14.70%,-22.98%,3.44%,-3.41%
2010-2014,SLV,Commodities,Expanded Addition,-1.5%,211,0.06%,0.01%,0.05%,55.45%,6.75%,-14.15%,1.62%,-1.90%,0.40%,0.03%,0.37%,56.87%,11.27%,-21.27%,2.78%,-2.82%,0.46%,0.04%,0.41%,53.55%,14.70%,-22.98%,3.60%,-3.24%
2010-2014,SLV,Commodities,Expanded Addition,-2.0%,154,0.04%,0.01%,0.03%,55.19%,6.75%,-14.15%,1.75%,-2.08%,0.52%,0.03%,0.49%,61.04%,11.27%,-21.27%,2.77%,-3.05%,0.57%,0.04%,0.53%,54.55%,13.09%,-14.20%,3.72%,-3.26%
2010-2014,SLV,Commodities,Expanded Addition,-2.5%,110,0.00%,0.01%,-0.01%,53.64%,6.75%,-14.15%,1.87%,-2.20%,0.37%,0.03%,0.34%,60.00%,11.27%,-21.27%,2.66%,-3.14%,0.51%,0.04%,0.47%,56.36%,11.75%,-14.20%,3.71%,-3.71%
2010-2014,SLV,Commodities,Expanded Addition,-3.0%,77,-0.01%,0.01%,-0.03%,55.84%,6.75%,-14.15%,2.16%,-2.85%,0.37%,0.03%,0.34%,57.14%,11.27%,-21.27%,3.14%,-3.43%,0.60%,0.04%,0.56%,55.84%,9.45%,-14.20%,4.04%,-3.87%
2010-2014,USO,Commodities,Expanded Addition,-1.0%,302,0.11%,-0.04%,0.15%,54.30%,7.90%,-9.11%,1.40%,-1.42%,-0.13%,-0.13%,-0.01%,49.34%,11.66%,-12.13%,2.31%,-2.52%,-0.24%,-0.21%,-0.03%,49.34%,12.46%,-13.13%,2.80%,-3.26%
2010-2014,USO,Commodities,Expanded Addition,-1.5%,191,0.17%,-0.04%,0.21%,54.45%,7.90%,-9.11%,1.51%,-1.44%,-0.04%,-0.13%,0.08%,50.79%,11.66%,-11.82%,2.54%,-2.74%,-0.16%,-0.21%,0.05%,49.74%,11.77%,-13.13%,2.90%,-3.25%
2010-2014,USO,Commodities,Expanded Addition,-2.0%,125,0.30%,-0.04%,0.34%,56.00%,7.90%,-3.97%,1.63%,-1.39%,-0.01%,-0.13%,0.12%,49.60%,11.66%,-9.54%,2.73%,-2.74%,-0.05%,-0.21%,0.16%,52.80%,11.77%,-13.13%,2.91%,-3.47%
2010-2014,USO,Commodities,Expanded Addition,-2.5%,72,-0.20%,-0.04%,-0.16%,43.06%,5.88%,-3.97%,1.68%,-1.62%,-0.82%,-0.13%,-0.69%,37.50%,5.68%,-9.54%,2.51%,-2.81%,-0.69%,-0.21%,-0.48%,45.83%,8.60%,-11.92%,2.68%,-3.53%
2010-2014,USO,Commodities,Expanded Addition,-3.0%,47,-0.13%,-0.04%,-0.09%,48.94%,4.08%,-3.97%,1.53%,-1.71%,-0.36%,-0.13%,-0.23%,46.81%,5.68%,-9.54%,2.60%,-2.96%,0.05%,-0.21%,0.25%,53.19%,8.60%,-11.92%,3.06%,-3.38%
