Period,Ticker,Category,Universe,Drop threshold,Number of big drop days,Average 1-day return,Benchmark average 1-day return,Edge vs benchmark 1-day return,1-day win rate,Best 1-day return,Worst 1-day return,Average 1-day winning trade,Average 1-day losing trade,Average 3-day return,Benchmark average 3-day return,Edge vs benchmark 3-day return,3-day win rate,Best 3-day return,Worst 3-day return,Average 3-day winning trade,Average 3-day losing trade,Average 5-day return,Benchmark average 5-day return,Edge vs benchmark 5-day return,5-day win rate,Best 5-day return,Worst 5-day return,Average 5-day winning trade,Average 5-day losing trade
2020-2024,XLE,Sector,Core,-2.0%,164,0.07%,0.07%,-0.00%,52.44%,16.04%,-20.14%,2.16%,-2.23%,0.22%,0.21%,0.01%,54.27%,28.94%,-21.05%,3.81%,-4.03%,0.39%,0.36%,0.03%,50.61%,23.90%,-34.55%,5.36%,-4.71%
2020-2024,XLE,Sector,Core,-2.5%,110,0.08%,0.07%,0.01%,54.55%,16.04%,-20.14%,2.33%,-2.62%,0.32%,0.21%,0.11%,59.09%,28.94%,-21.05%,3.93%,-4.90%,0.59%,0.36%,0.23%,54.55%,23.90%,-34.55%,5.74%,-5.59%
2020-2024,XLE,Sector,Core,-3.0%,75,0.12%,0.07%,0.05%,56.00%,16.04%,-20.14%,2.68%,-3.14%,0.07%,0.21%,-0.14%,58.67%,28.94%,-21.05%,4.36%,-6.02%,0.25%,0.36%,-0.11%,56.00%,23.90%,-34.55%,6.25%,-7.40%
2020-2024,XLV,Sector,Core,-1.0%,150,0.09%,0.04%,0.05%,46.00%,7.71%,-7.47%,1.34%,-0.98%,0.08%,0.11%,-0.03%,56.00%,16.39%,-10.81%,1.80%,-2.15%,0.28%,0.18%,0.09%,58.00%,19.23%,-13.20%,2.29%,-2.56%
2020-2024,XLV,Sector,Core,-1.5%,70,0.19%,0.04%,0.15%,48.57%,7.71%,-7.47%,1.72%,-1.26%,-0.02%,0.11%,-0.13%,55.71%,16.39%,-10.81%,2.07%,-2.65%,0.39%,0.18%,0.21%,60.00%,19.23%,-13.20%,2.79%,-3.21%
2020-2024,XLV,Sector,Core,-2.0%,36,0.55%,0.04%,0.51%,58.33%,7.71%,-7.47%,2.35%,-1.96%,-0.04%,0.11%,-0.15%,61.11%,16.39%,-10.81%,2.57%,-4.13%,0.57%,0.18%,0.38%,61.11%,19.23%,-13.20%,3.94%,-4.73%
2020-2024,XLV,Sector,Core,-2.5%,25,0.43%,0.04%,0.39%,56.00%,7.71%,-7.47%,2.39%,-2.08%,0.05%,0.11%,-0.06%,64.00%,16.39%,-10.81%,2.95%,-5.09%,0.76%,0.18%,0.58%,52.00%,19.23%,-11.27%,5.10%,-3.93%
2020-2024,XLV,Sector,Core,-3.0%,18,0.59%,0.04%,0.56%,55.56%,7.71%,-7.47%,3.15%,-2.60%,-0.18%,0.11%,-0.29%,61.11%,16.39%,-10.81%,3.63%,-6.17%,0.73%,0.18%,0.54%,50.00%,19.23%,-11.27%,6.25%,-4.80%
2020-2024,XLI,Sector,Expanded Addition,-1.0%,208,0.13%,0.05%,0.07%,50.48%,12.65%,-10.35%,1.56%,-1.34%,0.28%,0.16%,0.12%,54.33%,26.06%,-14.31%,2.51%,-2.41%,0.41%,0.27%,0.14%,54.81%,22.51%,-20.13%,3.12%,-2.90%
2020-2024,XLI,Sector,Expanded Addition,-1.5%,109,0.04%,0.05%,-0.01%,47.71%,12.65%,-10.35%,1.78%,-1.54%,0.17%,0.16%,0.01%,49.54%,26.06%,-14.31%,3.30%,-2.90%,0.35%,0.27%,0.07%,55.05%,22.51%,-20.13%,3.63%,-3.67%
