Period,Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2010-2014,XLY,Sector,Expanded Addition,-1.5,3,94,0.6,0.25,0.35,59.57,7.51,-6.67,2.33,-1.95,0.181
2010-2014,XLY,Sector,Expanded Addition,-2.0,3,44,0.62,0.25,0.37,61.36,7.51,-6.67,2.3,-2.06,0.179
2010-2014,XLF,Sector,Core,-1.0,5,195,0.7,0.27,0.43,59.49,11.02,-9.58,2.81,-2.43,0.177
2010-2014,GLD,Commodities,Expanded Addition,-2.0,5,56,0.5,0.04,0.46,64.29,5.18,-8.22,2.24,-2.62,0.176
2010-2014,XLY,Sector,Expanded Addition,-1.0,5,157,0.79,0.41,0.38,61.78,11.05,-7.58,2.64,-2.21,0.174
2010-2014,XLI,Sector,Expanded Addition,-1.5,3,96,0.57,0.21,0.36,56.25,8.4,-6.65,2.6,-2.05,0.173
2010-2014,SPY,Broad Index,Core,-1.0,3,139,0.46,0.18,0.27,58.99,7.42,-5.33,1.92,-1.65,0.166
2010-2014,XLE,Sector,Core,-1.5,5,137,0.71,0.2,0.51,60.58,12.63,-11.8,3.23,-3.16,0.162
2010-2014,SLV,Commodities,Expanded Addition,-2.0,3,154,0.52,0.03,0.49,61.04,11.27,-21.27,2.77,-3.05,0.161
2010-2014,XLF,Sector,Core,-2.0,1,80,0.3,0.06,0.24,58.75,7.73,-4.74,1.59,-1.53,0.159
2010-2014,SPY,Broad Index,Core,-1.5,1,73,0.21,0.06,0.15,60.27,4.65,-3.23,0.98,-0.95,0.159
2010-2014,XLB,Sector,Expanded Addition,-1.5,3,134,0.48,0.14,0.34,56.72,10.76,-7.06,2.51,-2.18,0.156
2010-2014,SPY,Broad Index,Core,-1.0,5,139,0.65,0.3,0.35,61.15,8.78,-7.29,2.49,-2.25,0.154
2010-2014,XLY,Sector,Expanded Addition,-1.5,5,94,0.81,0.41,0.4,61.7,11.05,-7.58,2.95,-2.63,0.154
2010-2014,XLI,Sector,Expanded Addition,-1.0,3,187,0.49,0.21,0.28,56.68,8.4,-7.29,2.3,-1.87,0.149
2010-2014,SOXX,Semiconductors,Expanded Addition,-1.0,5,248,0.75,0.33,0.42,59.68,12.17,-8.19,3.16,-2.82,0.148
2010-2014,XLF,Sector,Core,-1.0,1,195,0.26,0.06,0.21,60.0,7.73,-9.46,1.37,-1.41,0.146
2010-2014,SLV,Commodities,Expanded Addition,-3.0,5,77,0.6,0.04,0.56,55.84,9.45,-14.2,4.04,-3.87,0.144
2010-2014,XLF,Sector,Core,-2.0,5,80,0.7,0.27,0.43,56.25,10.28,-8.71,3.57,-2.99,0.143
2010-2014,XLI,Sector,Expanded Addition,-1.0,5,187,0.72,0.35,0.37,61.5,10.56,-8.95,2.78,-2.58,0.142
2010-2014,XLY,Sector,Expanded Addition,-1.0,3,157,0.48,0.25,0.24,57.96,7.51,-6.67,2.05,-1.69,0.139
2010-2014,XLU,Sector,Expanded Addition,-1.0,5,117,0.53,0.27,0.26,62.39,8.54,-4.62,1.93,-1.89,0.137
2010-2014,IWM,Broad Index,Core,-1.0,5,231,0.66,0.32,0.33,58.87,12.1,-9.5,2.84,-2.47,0.136
2010-2014,QQQ,Broad Index,Core,-1.0,5,163,0.67,0.38,0.29,61.35,9.39,-7.78,2.43,-2.18,0.133
2010-2014,XLI,Sector,Expanded Addition,-1.5,5,96,0.73,0.35,0.38,59.38,10.56,-8.95,3.2,-2.88,0.131
2010-2014,XLF,Sector,Core,-1.5,1,126,0.26,0.06,0.2,58.73,7.73,-9.46,1.54,-1.56,0.13
2010-2014,SLV,Commodities,Expanded Addition,-1.5,3,211,0.4,0.03,0.37,56.87,11.27,-21.27,2.78,-2.82,0.13
2010-2014,IGV,Software,Expanded Addition,-2.0,3,69,0.51,0.19,0.32,59.42,8.56,-6.27,2.55,-2.47,0.129
2010-2014,IWM,Broad Index,Core,-1.5,3,129,0.5,0.2,0.3,56.59,10.08,-7.89,2.71,-2.38,0.127
2010-2014,SMH,Semiconductors,Expanded Addition,-1.0,5,230,0.65,0.33,0.32,60.0,8.98,-8.31,2.75,-2.5,0.126
2010-2014,SLV,Commodities,Expanded Addition,-2.5,5,110,0.51,0.04,0.47,56.36,11.75,-14.2,3.71,-3.71,0.125
2010-2014,SOXX,Semiconductors,Expanded Addition,-1.5,5,161,0.67,0.33,0.34,57.14,12.17,-8.19,3.36,-2.91,0.118
2010-2014,DIA,Broad Index,Core,-1.0,3,115,0.35,0.17,0.18,56.52,7.13,-5.1,1.84,-1.59,0.116
2010-2014,DIA,Broad Index,Core,-1.0,5,115,0.52,0.28,0.24,57.39,7.38,-6.47,2.47,-2.1,0.116
2010-2014,XLP,Sector,Expanded Addition,-1.0,1,82,0.14,0.06,0.08,59.76,2.96,-3.02,0.7,-0.71,0.114
2010-2014,DIA,Broad Index,Core,-1.5,1,58,0.16,0.06,0.1,56.9,3.98,-3.5,0.99,-0.93,0.112
2010-2014,GLD,Commodities,Expanded Addition,-1.5,1,91,0.15,0.01,0.14,61.54,3.99,-8.78,1.02,-1.25,0.111
2010-2014,XLF,Sector,Core,-1.0,3,195,0.4,0.17,0.24,56.92,8.78,-9.23,2.31,-2.15,0.11
2010-2014,SLV,Commodities,Expanded Addition,-2.5,3,110,0.37,0.03,0.34,60.0,11.27,-21.27,2.66,-3.14,0.109
2010-2014,IGV,Software,Expanded Addition,-1.5,5,138,0.63,0.32,0.31,60.87,11.06,-9.83,2.92,-2.94,0.105
2010-2014,SLV,Commodities,Expanded Addition,-3.0,3,77,0.37,0.03,0.34,57.14,11.27,-21.27,3.14,-3.43,0.1
2010-2014,XLB,Sector,Expanded Addition,-1.0,5,216,0.53,0.23,0.29,59.26,13.67,-9.71,2.92,-2.95,0.1
2010-2014,XLE,Sector,Core,-1.5,3,137,0.37,0.12,0.25,55.47,9.54,-10.13,2.71,-2.54,0.098
2010-2014,SOXX,Semiconductors,Expanded Addition,-2.0,5,102,0.63,0.33,0.3,56.86,12.17,-8.19,3.43,-3.07,0.097
2010-2014,XLF,Sector,Core,-1.5,5,126,0.55,0.27,0.27,57.14,10.28,-9.58,3.07,-2.81,0.097
2010-2014,GLD,Commodities,Expanded Addition,-2.5,5,28,0.33,0.04,0.29,64.29,5.02,-6.71,2.2,-3.03,0.096
2010-2014,XLE,Sector,Core,-1.0,5,218,0.47,0.2,0.27,55.96,12.63,-11.8,3.09,-2.86,0.095
2010-2014,IGV,Software,Expanded Addition,-1.0,5,214,0.56,0.32,0.24,59.35,11.06,-9.83,2.69,-2.59,0.093
2010-2014,SPY,Broad Index,Core,-1.0,1,139,0.15,0.06,0.09,56.83,4.65,-3.23,0.97,-0.94,0.092
2010-2014,TLT,Bonds,Expanded Addition,-1.0,1,163,0.12,0.04,0.07,55.83,3.16,-3.39,0.87,-0.82,0.09
2010-2014,DIA,Broad Index,Core,-1.0,1,115,0.13,0.06,0.07,56.52,4.07,-3.5,0.88,-0.85,0.089
2010-2014,SMH,Semiconductors,Expanded Addition,-1.5,5,142,0.55,0.33,0.22,56.34,8.48,-8.31,2.99,-2.59,0.085
2010-2014,IWM,Broad Index,Core,-3.0,3,28,0.48,0.2,0.29,60.71,10.08,-7.89,3.0,-3.4,0.084
2010-2014,GLD,Commodities,Expanded Addition,-2.0,3,56,0.19,0.03,0.17,66.07,3.76,-7.7,1.37,-2.1,0.079
2010-2014,XLV,Sector,Core,-1.5,1,65,0.15,0.07,0.08,61.54,4.57,-2.57,0.86,-0.98,0.079
2010-2014,XLV,Sector,Core,-1.0,5,127,0.53,0.37,0.16,67.72,7.38,-10.02,1.86,-2.27,0.071
2010-2014,SOXX,Semiconductors,Expanded Addition,-1.0,3,248,0.35,0.2,0.15,56.45,8.59,-8.2,2.5,-2.45,0.06
2010-2014,QQQ,Broad Index,Core,-2.0,1,45,0.14,0.07,0.07,55.56,5.2,-2.57,1.21,-1.19,0.059
2010-2014,QQQ,Broad Index,Core,-1.5,5,96,0.52,0.38,0.15,59.38,9.39,-7.78,2.59,-2.5,0.059
2010-2014,GLD,Commodities,Expanded Addition,-2.0,1,56,0.1,0.01,0.09,62.5,3.99,-8.78,1.14,-1.63,0.058
2010-2014,XLB,Sector,Expanded Addition,-1.0,3,216,0.28,0.14,0.13,56.94,10.76,-10.94,2.31,-2.41,0.056
2010-2014,IGV,Software,Expanded Addition,-1.5,3,138,0.33,0.19,0.14,57.97,8.56,-9.48,2.36,-2.47,0.056
2010-2014,XLB,Sector,Expanded Addition,-3.0,3,29,0.3,0.14,0.16,58.62,7.58,-6.51,2.55,-2.89,0.054
2010-2014,SMH,Semiconductors,Expanded Addition,-1.0,3,230,0.31,0.2,0.11,57.83,7.56,-7.13,2.11,-2.16,0.049
2010-2014,XLV,Sector,Core,-1.0,1,127,0.11,0.07,0.04,59.06,4.57,-3.18,0.82,-0.91,0.046
2010-2014,XLI,Sector,Expanded Addition,-1.0,1,187,0.12,0.07,0.05,55.08,5.73,-4.35,1.09,-1.08,0.042
2010-2014,XLK,Sector,Core,-1.0,5,157,0.39,0.3,0.09,56.69,8.58,-7.01,2.34,-2.21,0.041
2010-2014,XLU,Sector,Expanded Addition,-1.0,3,117,0.22,0.16,0.06,58.97,7.12,-3.96,1.36,-1.48,0.038
2010-2014,GLD,Commodities,Expanded Addition,-2.5,3,28,0.09,0.03,0.06,60.71,3.76,-7.7,1.68,-2.37,0.027
2010-2014,SLV,Commodities,Expanded Addition,-1.5,1,211,0.06,0.01,0.05,55.45,6.75,-14.15,1.62,-1.9,0.026
2010-2014,QQQ,Broad Index,Core,-1.5,1,96,0.1,0.07,0.03,55.21,5.2,-3.25,1.04,-1.06,0.025
2010-2014,GLD,Commodities,Expanded Addition,-1.5,3,91,0.08,0.03,0.05,61.54,3.76,-12.9,1.43,-2.09,0.024
2010-2014,IGV,Software,Expanded Addition,-1.0,3,214,0.24,0.19,0.05,56.07,8.56,-9.48,2.17,-2.25,0.023
2010-2014,SLV,Commodities,Expanded Addition,-2.0,1,154,0.04,0.01,0.03,55.19,6.75,-14.15,1.75,-2.08,0.016
2010-2014,GLD,Commodities,Expanded Addition,-1.0,1,180,0.02,0.01,0.02,57.22,3.99,-8.78,0.84,-1.08,0.014
2010-2014,SOXX,Semiconductors,Expanded Addition,-1.5,3,161,0.23,0.2,0.03,55.9,8.59,-8.2,2.44,-2.56,0.013
